Dv,MARCA,Material,Descripción,      Amount ,Unit,per,UoM,Empaque Mínimo,ABC Code,División.,Marca.
5P,Kim Lighting,EL807/9L3KUV/DB,Configurado Familia - EL807, $265.28 ,USD,1,PZ,1 PZ,-,5P,Kim Lighting
4B,KILLARK,FSL-2,"FSL 3/4"" AL SHALL FEED THRU", $26.31 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5P,Kim Lighting,EL807/3L5KUV BL,Configurado Familia - EL807/3L5KUV BL, Descontinuado ,USD,1,PZ,1 PZ,-,5P,Kim Lighting
5C,Columbia Lighting,CNSS8-154-EPU,Configurado Familia - ETOCOLJ013105, Descontinuado ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5H,Outdoor,FSL7L4K,FSL-7L4K, Descontinuado ,USD,1,PZ,1 PZ,M,5H,Outdoor
5C,Columbia Lighting,C6TL20-277V,Configurado Familia - ETOCOLJ020640, Descontinuado ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5I,Industrial,VTC-5K-G-U-X1-GR OBS,Configurado Familia - ETOCOLJ023387, Descontinuado ,USD,1,PZ,1 PZ,-,5I,Industrial
5C,Columbia Lighting,F3C8W,Configurado Familia - ETOCOLJ026952, $16.60 ,USD,1,PZ,1 PZ,-,5C,Columbia Lighting
5E,Dual-Lite,DYN12-C1D2-06L,Configurado Familia - ETODUAL000437, $646.38 ,USD,1,PZ,1 PZ,-,5E,Dual-Lite
3C,Premise,FSPB,"FIBER, ADAPT PNL,BLANK, FSP STD OPENING", $8.34 ,USD,1,PZ,1 PZ,M,3C,Premise
3C,Premise,FSPLCDM3AQ,"FIBER, ADAPT PNL,6P,3LC DUPLX,P-BZ,AQ", $58.72 ,USD,1,PZ,1 PZ,M,3C,Premise
3C,Premise,FSPLCDM6B,"FIBER, ADAPT PNL,12P,6LC DUPLX,P-BZ,BL", $102.29 ,USD,1,PZ,1 PZ,M,3C,Premise
5I,Industrial,ETO-DRVR ADV LEDINTA0700C210DO,Configurado Familia - ETOHLINTJ000281B, $146.13 ,USD,1,PZ,1 PZ,-,5I,Industrial
3C,Premise,FSPLCDS6B,"FIBER, ADAPT PNL,12P,6LC DUPLX,ZIRC,BL", $140.97 ,USD,1,PZ,1 PZ,M,3C,Premise
3C,Premise,FSPSC6,"FIBER, ADAPT PNL,6P,6SC SMPLX,P-BZ,BL", $50.24 ,USD,1,PZ,1 PZ,M,3C,Premise
3C,Premise,FSPSCDM3B,"FIBER, ADAPT PNL,6P,3SC DUPLX,P-BZ,BL", $31.46 ,USD,1,PZ,1 PZ,B,3C,Premise
5A,Prescolite,LBSLEDA10L50K9WH,Configurado Familia - ETOPRES011859, $83.45 ,USD,1,PZ,1 PZ,-,5A,Prescolite
5L,Security Lighting,FLED-R-24-7-UNV-CVQ-5-WH,Configurado Familia - ETOSECTJ00258, Descontinuado ,USD,1,PZ,1 PZ,-,5L,Security Lighting
4B,KILLARK,FSR-2,"FSR 3/4"" AL SHALL DEV BOXX", $25.26 ,USD,1,PZ,1 PZ,M,4B,KILLARK
